Date,Website,Title,URL,Author
2025-12-24T02:51:09Z,Department of Justice (.gov),New Federal Charges in Killing of National Guardsman Sarah Beckstrom and Shooting of Guardsman Andrew Wolfe,https://www.justice.gov/usao-dc/pr/suspect-killing-national-guardsman-sarah-beckstrom-charged-complaint-new-federal-counts,
2025-12-24T13:17:07Z,The Washington Post,National Guard slaying case moves to federal court,https://www.washingtonpost.com/dc-md-va/2025/12/24/beckstrom-guard-killing-death-penalty/,Martin Weill
2025-12-24T18:07:16Z,The New York Times,How a Scholar Nudged the Supreme Court Toward Its Troop Deployment Ruling,https://www.nytimes.com/2025/12/24/us/politics/georgetown-scholar-supreme-court.html,Adam Liptak
2025-12-24T11:00:59Z,CNN,Supreme Court's National Guard decision could force new debate over how Trump could use Insurrection Act,https://www.cnn.com/2025/12/24/politics/national-guard-trump-insurrection-act-supreme-court,John Fritze
2025-12-25T02:10:48Z,The Washington Post,Opinion | The Supreme Court raises the stakes on Trump's troop deployments,https://www.washingtonpost.com/opinions/2025/12/24/supreme-court-trump-chicago/,
2025-12-24T04:34:04Z,The New York Times,19 States Sue to Block White House Plan to End Gender-Related Care for Minors,https://www.nytimes.com/2025/12/23/us/states-lawsuit-kennedy-gender-care-hospitals.html,Orlando Mayorquin & Chris Hippensteel
2025-12-24T16:35:48Z,CNN,Democratic-led states sue HHS over proposal targeting hospitals that offer transgender care to minors,https://www.cnn.com/2025/12/24/politics/democratic-led-states-sue-hhs-transgender-care,Tierney Sneed
2025-12-24T18:19:00Z,Milwaukee Journal Sentinel,Wisconsin sues Trump over rules restricting gender-affirming care,https://www.jsonline.com/story/news/health/2025/12/24/wisconsin-joins-multistate-lawsuit-challenging-youth-gender-care-limits/87906650007/,Natalie Eilbert
2025-12-23T21:53:50Z,The Seattle Times,Ferguson backs seismic shift in WA's tax code,https://www.seattletimes.com/seattle-news/politics/ferguson-backs-wa-income-tax-on-millionaires/,"Brunner, Jim"
2025-12-24T16:42:00Z,Fortune,Millionaire tax plans spread as Washington state eyes new levy,https://fortune.com/2025/12/24/millionaire-tax-plans-spread-as-washington-state-eyes-new-levy/,
2025-12-22T13:00:00Z,The Olympian,Here are some top issues we're watching ahead of WA's 2026 legislative session,https://www.theolympian.com/news/politics-government/article313666180.html,Simone Carter
2025-12-24T13:03:37Z,6abc Philadelphia,Delaware state police trooper killed in shooting at DMV facility in New Castle County,https://6abc.com/post/active-shooter-reported-dmv-wilmington-delaware/18309833/,Leland Pinder
2025-12-25T10:37:00Z,The News Journal,"An 'American dream.' Wrestling teammates, coaches remember Tyler Snook",https://www.wdel.com/news/police-identify-trooper-killed-in-line-of-duty-at-wilmington-dmv/article_fb2a8151-a89c-4cac-8069-7cb4d3e8daef.html,Brandon Holveck
2025-12-24T18:52:00Z,WDEL,Police identify trooper killed in line-of-duty at Wilmington DMV,https://washingtonstatestandard.com/2025/12/23/ferguson-calls-for-tapping-reserve-fund-and-climate-law-cash-to-fill-wa-budget-hole/,"Mark Fowser, Mike Phillips & Sean Greene"
2025-12-23T20:30:00Z,king5.com,"Gov. Ferguson's proposed budget includes further cuts to state agencies, higher education",https://www.king5.com/article/news/politics/gov-fergusons-proposed-budget-includes-further-cuts-to-state-agencies-higher-education/281-3e22dc6d-6bf0-4a58-93b9-6f8aac0916a6,Helen Smith
2025-12-23T23:18:11Z,The Seattle Times,WA schools Superintendent Reykdal criticizes Ferguson's proposed cuts,https://www.seattletimes.com/education-lab/wa-schools-superintendent-reykdal-criticizes-fergusons-proposed-cuts/,Claire Withycombe
2025-12-24T00:05:37Z,Office of Financial Management (.gov),Strategic Priorities,https://ofm.wa.gov/budget/state-budget-2025-27/26-proposed-supplemental/budget-highlights/strategic-priorities/,
2025-12-24T21:27:00Z,The New York Times,Judge Blocks Conditions Imposed on States Seeking FEMA Grants,https://www.nytimes.com/2025/12/23/us/politics/trump-fema-grants-states-population.html,Scott Dance
2025-12-24T17:17:00Z,The Guardian,Federal judge blocks White House's reductions of homeland security funding to states,https://www.theguardian.com/us-news/2025/dec/24/federal-judge-white-house-state-homeland-security-funding,Gloria Oladipo
2025-12-24T14:08:32Z,CNN,Federal judge says Trump administration must restore disaster money to Democratic states,https://www.cnn.com/2025/12/24/politics/trump-administration-disaster-money-democratic-states,
2025-12-24T21:35:00Z,Inquirer.com,Crowds flocked to the final Wanamaker Light Show of the season. No one knows when it's coming back,https://www.inquirer.com/news/wanamaker-light-show-final-show-season-20251224.html,Mike Newall
2025-12-24T02:31:15Z,CBS News,Crowds pack Philadelphia's Wanamaker Building for final Christmas Light Shows amid uncertain future,https://www.cbsnews.com/philadelphia/news/wanamaker-christmas-light-show-dickens-village/,Ross Dimattei
2025-12-17T10:36:09Z,WHYY,Fans wrap around the block for the last days of Philly's Wanamaker Light Show,https://whyy.org/articles/philadelphia-wanamaker-light-show-christmas/,Peter Crimmins
2025-12-24T16:50:00Z,KPTV,There isn't going to be a Christmas Eve windstorm today,https://www.kptv.com/2025/12/24/there-isnt-going-be-christmas-eve-windstorm-today/,Mark Nelsen
2025-12-23T01:18:00Z,KGW,Christmas Eve forecast shows weakening winds across Portland metro area | Weather Impact Alert,https://www.kgw.com/article/weather/weather-impact/weather-impact-alert-portland-eve-strong-winds-christmas-eve/283-3341574f-0d52-4da0-ab05-29e2b255f165,Luisa Anderson
2025-12-24T03:31:48Z,Statesman Journal,Update: Windstorm hitting Oregon Christmas Eve downgraded,https://www.statesmanjournal.com/story/news/local/oregon/2025/12/23/winds-forecast-to-slam-oregon-christmas-eve-updated-forecast/87900110007/,Zach Urness
2025-12-24T11:51:29Z,NewsNation,Mother faces murder charge after Melodee Buzzard found dead,https://www.newsnationnow.com/missing/major-development-expected-melodee-buzzard-case/,
2025-12-25T04:03:20Z,The Washington Post,Mother charged in 'cold-blooded' killing of 9-year-old daughter,https://www.washingtonpost.com/nation/2025/12/24/california-girl-melodee-buzzard-killing-utah/,Jennifer Hassan & Karin Brulliard
2025-12-24T15:16:14Z,BBC,Mother arrested after body of missing nine-year-old girl found,https://www.bbc.com/news/articles/cn4dkjwg031o,Ana Faguy
2025-12-24T20:54:38Z,The Seattle Times,A main WA ski resort is operating at full capacity after highway fixes,https://www.seattletimes.com/life/outdoors/crystal-mountain-resort-operating-at-full-capacity-after-highway-410-repairs/,Nicole Pasia
2025-12-23T01:58:58Z,FOX 13 Seattle,Repairs underway on WA's SR 410 after White River flooding washout,https://www.fox13seattle.com/news/sr-410-repairs-flooding-washout,Lauren Donovan
2025-12-24T17:52:03Z,KOMO,SR 410 towards Crystal Mountain fully reopens,https://komonews.com/news/local/sr-410-crystal-mountain-resort-reopens-wsdot-construction-flooding-water-road-highway-enumclaw,
2025-12-23T17:04:26Z,ABC News,Former Sen. Ben Sasse announces he has been diagnosed with advanced pancreatic cancer,https://www.nbcnews.com/world/venezuela/venezuela-seeks-criminalize-oil-tanker-seizures-trump-puts-pressure-ma-rcna250738,Oren Oppenheim
2025-12-23T16:08:00Z,WCJB,"'Death sentence': Former UF president, Sen. Ben Sasse shares stage-four pancreatic cancer diagnosis",https://abcnews.go.com/Politics/former-sen-ben-sasse-diagnosed-advanced-pancreatic-cancer/story?id=128653847,Ryan Turbeville
2025-12-23T16:08:35Z,The New York Times,"Ben Sasse, Former Nebraska Senator, Shares Terminal Pancreatic Cancer Diagnosis",https://www.nytimes.com/2025/12/23/us/politics/ben-sasse-pancreatic-cancer.html,"Adeel Hassan, Charles Homans & Stephanie Saul"
2025-12-25T00:05:01Z,The New York Times,"After a Plane Crashed in the Texas Fog, 2 Stories of Rescue",https://www.nytimes.com/2025/12/24/us/galveston-plane-crash-rescue-mexico-navy.html,Mark Walker
2025-12-24T00:23:21Z,KHOU,'Entirely preventable' | Veteran commercial pilot weighs in on deadly Galveston plane crash,https://www.khou.com/article/news/local/pilot-galveston-plane-crash/285-6cc31720-1b0c-4ad1-98ec-a22d3fbaec28,Marcelino Benito
2025-12-23T18:29:04Z,ABC13 Houston,"Galveston plane crash: Person missing after plane went down in water confirmed dead, bringing death toll 6, Mexican Navy says",https://abc13.com/post/galveston-plane-crash-search-efforts-continue-person-missing-went-down-water-killing-5-officials-say/18309417/,"Nick Natario, Brandon Hamilton & Sarah Al-Shaikh, M.S."
2025-12-20T22:21:00Z,Chicago Sun-Times,City Council sends alternate budget to Mayor Brandon Johnson - will he veto it?,https://chicago.suntimes.com/city-hall/2025/12/20/chicago-budget-veto-brandon-johnson-alternate-head-tax,Mariah Woelfel
2025-12-23T18:45:45Z,The Washington Post,Opinion | Chicago is in a bind. It needs more than short-term fixes to get out.,https://www.washingtonpost.com/opinions/2025/12/23/chicago-city-budget-brandon-johnson-alderman/,
2025-12-23T18:18:27Z,Block Club Chicago,"Mayor Won't Veto Council-Backed Budget, Avoiding City Shutdown",https://blockclubchicago.org/2025/12/23/mayor-wont-veto-council-backed-budget-avoiding-city-shutdown/,Quinn Myers
2025-12-23T22:40:49Z,Boulder Daily Camera,Colorado leaders mobilize bipartisan congressional coalition to protect NCAR,https://www.dailycamera.com/2025/12/23/congress-bipartisan-coalition-letter-ncar-neguse-trump/,Olivia Doak
2025-12-19T17:21:49Z,The New York Times,A Somber Mood at Science Meeting as Trump Budget Cuts Continue,https://www.nytimes.com/2025/12/19/climate/ncar-climate-research-agu.html,Eric Niiler
2025-12-20T22:40:18Z,Colorado Public Radio,"Hundreds protest Trump's move to dismantle NCAR, a premier climate and weather hub",https://www.cpr.org/2025/12/20/ncar-boulder-trump-dismantle-protest/,Ishan Thakore
2025-12-23T16:18:53Z,Mother Lode's News - myMotherLode.com,"CHP Wants Drivers To ""Brake"" Habit Of Speeding During Christmas HEP",https://mymotherlode.com/news/local/10333950/chp-wants-drivers-to-brake-habit-of-speeding-during-christmas-mep.html,Tracey Petersen
2025-12-22T23:44:04Z,KTLA,California DMV and CHP launch joint pilot program to curb speeding,https://ktla.com/news/california/california-dmv-and-chp-launch-joint-pilot-program-to-curb-speeding/,Iman Palm
