Date,Website,Title,URL,Author
2026-01-01T22:43:08Z,Politico,7 takeaways from Jack Smith's congressional testimony,https://www.politico.com/news/2025/12/31/takeaways-jack-smith-congressional-testimony-00708747,"Jordain Carney, Hailey Fuchs & Kyle Cheney"
2025-12-31T22:34:00Z,The Guardian,Jack Smith told House committee he had 'proof beyond reasonable doubt' in cases against Trump,https://www.theguardian.com/us-news/2025/dec/31/jack-smith-house-testimony,Chris Stein
2026-01-01T02:15:19Z,NPR,"Capitol riot 'does not happen' without Trump, Jack Smith told Congress",https://www.npr.org/2025/12/31/g-s1-104190/capitol-riot-trump-jack-smith-transcript,
2026-01-02T00:34:39Z,ABC News,Off-duty ICE officer allegedly shoots and kills man firing gun outside apartment complex: DHS,https://abcnews.go.com/US/off-duty-ice-officer-allegedly-shoots-kills-man/story?id=128836392,Meredith Deliso & Alex Stone
2026-01-01T19:31:33Z,ABC7 Los Angeles,"Off-duty ICE agent shoots, kills man allegedly armed with rifle in Northridge",https://abc7.com/post/homeland-security-officer-shoots-kills-suspect-northridge-los-angeles-police-say/18339056/,Leanne Suter
2026-01-01T23:54:46Z,Los Angeles Times,Gunman dies after being shot by off-duty ICE agent; LAPD investigating,https://www.latimes.com/california/story/2026-01-01/gunman-dies-after-being-shot-by-off-duty-ice-agent-lapd-investigating,Jeanette E. Marantos
2026-01-01T19:17:43Z,KTLA,Off-duty DHS officer involved in fatal L.A. New Year's Eve shooting: police,https://ktla.com/news/local-news/off-duty-dhs-officer-involved-in-fatal-l-a-new-years-eve-shooting-police/,Will Conybeare
2025-12-31T21:06:21Z,6abc Philadelphia,"Body found confirmed to be missing Camila Mendoza Olmos in Texas, death ruled suicide",https://6abc.com/post/body-found-confirmed-missing-camila-mendoza-olmos-texas-death-ruled-suicide/18336623/,"Emma C. Tucker, Alisha Ebrahimji & Andy Rose"
2025-12-29T17:12:36Z,CNN,Weeklong search for missing Texas teen who vanished on Christmas Eve ends in tragedy as officials ID body,https://www.cnn.com/2025/12/29/us/camila-mendoza-olmos-missing-texas-teen,"Emma C. Tucker, Alisha Ebrahimji & Andy Rose"
2025-12-26T04:31:44Z,kens5.com,'I only ask God to please bring her back home': Search underway after CLEAR Alert issued for missing San Antonio teen,https://www.kens5.com/article/news/local/search-underway-clear-alert-missing-san-antonio-teen-texas-family/273-ed796e1a-5e0a-4cc1-9c73-cbb2ca1b870a,Mike Jimenez
2025-12-27T23:31:21Z,KSAT,'We're not going to stop': Bexar County community unwavering in search for missing 19-year-old,https://www.ksat.com/news/local/2025/12/27/were-not-going-to-stop-bexar-county-community-unwavering-in-search-for-missing-19-year-old/,"Devan Karp, Everett Allen & Zaria Oates"
2025-12-31T18:22:30Z,ABC News,What to know about Zohran Mamdani's historic inauguration as New York City mayor,https://abcnews.go.com/Politics/zohran-mamdanis-historic-inauguration-new-york-city-mayor/story?id=128784385,Oren Oppenheim
2026-01-01T02:45:34Z,The Washington Post,"Trump ends effort to keep National Guard in Chicago, Los Angeles, Portland",https://www.washingtonpost.com/business/2025/12/31/trump-national-guard-chicago-los-angeles-portland/,Justin Jouvenal & Lauren Kaori Gurley
2025-12-31T23:14:04Z,Politico,7 takeaways from Jack Smith's congressional testimony,https://www.politico.com/news/2025/12/31/takeaways-jack-smith-congressional-testimony-00708747,"Jordain Carney, Hailey Fuchs & Kyle Cheney"
2025-12-31T22:36:00Z,The Guardian,Jack Smith told House committee he had 'proof beyond reasonable doubt' in cases against Trump,https://www.theguardian.com/us-news/2025/dec/31/jack-smith-house-testimony,Chris Stein
2026-01-01T00:27:55Z,The New York Times,"In Hearing Transcript, Jack Smith Defends Decision to Indict Trump",https://www.nytimes.com/2025/12/31/us/politics/jack-smith-deposition-house-trump.html,Glenn Thrush
